Run id: 1040
Num directions: 100
Direction(id=0, theta=6.2110726711, phi=0.2822676519)
Direction(id=1, theta=2.3454651859, phi=0.9092595796)
Direction(id=2, theta=0.3058452652, phi=0.5126179718)
Direction(id=3, theta=4.5400970566, phi=1.0251749049)
Direction(id=4, theta=1.9993570176, phi=0.1090774278)
Direction(id=5, theta=0.5656074811, phi=0.8797364430)
Direction(id=6, theta=5.4883782344, phi=0.4022313310)
Direction(id=7, theta=6.1138081176, phi=0.6163675058)
Direction(id=8, theta=4.1662770649, phi=0.5560174374)
Direction(id=9, theta=5.2799454347, phi=0.2859426158)
Direction(id=10, theta=3.1391498008, phi=0.1722877732)
Direction(id=11, theta=1.6156499119, phi=0.6907243102)
Direction(id=12, theta=0.1594451465, phi=0.6351434335)
Direction(id=13, theta=5.9001805883, phi=0.4251944766)
Direction(id=14, theta=2.7565677271, phi=0.4110926500)
Direction(id=15, theta=1.8918252078, phi=0.9392297392)
Direction(id=16, theta=5.8528392746, phi=0.4245237411)
Direction(id=17, theta=2.2003224101, phi=0.3589836078)
Direction(id=18, theta=2.8695087467, phi=0.4164430112)
Direction(id=19, theta=3.0314721179, phi=0.3681891992)
Direction(id=20, theta=3.3997955657, phi=0.0563393362)
Direction(id=21, theta=5.8545671946, phi=1.4977998321)
Direction(id=22, theta=4.8514482936, phi=0.9118484293)
Direction(id=23, theta=0.0011828937, phi=0.9745558015)
Direction(id=24, theta=3.1463476966, phi=0.8752670084)
Direction(id=25, theta=3.2886823779, phi=0.2590368531)
Direction(id=26, theta=4.9048198698, phi=0.5915479727)
Direction(id=27, theta=3.2729833901, phi=0.2340772154)
Direction(id=28, theta=3.6574677540, phi=0.7033836876)
Direction(id=29, theta=2.2160949462, phi=0.9891946397)
Direction(id=30, theta=2.8332750953, phi=1.1077346447)
Direction(id=31, theta=5.0165582437, phi=0.3969451196)
Direction(id=32, theta=4.9151873825, phi=0.1449699357)
Direction(id=33, theta=1.1819766505, phi=0.6133466897)
Direction(id=34, theta=2.3189994195, phi=0.7990121023)
Direction(id=35, theta=4.4498604494, phi=1.0857674581)
Direction(id=36, theta=3.3642145355, phi=0.5252758585)
Direction(id=37, theta=1.1706131019, phi=0.5788955785)
Direction(id=38, theta=6.2569885709, phi=0.2826419359)
Direction(id=39, theta=0.8684394086, phi=0.1489692530)
Direction(id=40, theta=6.0503268052, phi=1.3709745736)
Direction(id=41, theta=5.3827608613, phi=0.2061581863)
Direction(id=42, theta=1.8908473619, phi=0.4908518585)
Direction(id=43, theta=0.9041910519, phi=0.7065233109)
Direction(id=44, theta=3.1527231274, phi=0.4566631802)
Direction(id=45, theta=3.6383162957, phi=1.1832801770)
Direction(id=46, theta=2.8881011294, phi=0.7291547719)
Direction(id=47, theta=0.9246771123, phi=0.1821468639)
Direction(id=48, theta=1.1023618290, phi=1.0183977480)
Direction(id=49, theta=4.1511690117, phi=0.5504851368)
Direction(id=50, theta=5.5670419130, phi=0.5578734047)
Direction(id=51, theta=3.9149380067, phi=1.0709017260)
Direction(id=52, theta=5.6750884197, phi=0.8397165591)
Direction(id=53, theta=3.6025328208, phi=0.2918203761)
Direction(id=54, theta=2.6414304401, phi=0.8148049666)
Direction(id=55, theta=1.1517900061, phi=0.9974477906)
Direction(id=56, theta=4.0030814019, phi=1.1718333612)
Direction(id=57, theta=4.0422036360, phi=0.2658130422)
Direction(id=58, theta=4.8701392482, phi=1.3315098969)
Direction(id=59, theta=5.0620612265, phi=0.4219322492)
Direction(id=60, theta=0.0017406413, phi=0.7717208487)
Direction(id=61, theta=0.0453489980, phi=0.6479517763)
Direction(id=62, theta=6.0035213291, phi=0.3207387508)
Direction(id=63, theta=3.5801263824, phi=0.6918319959)
Direction(id=64, theta=1.5453397045, phi=0.0417187604)
Direction(id=65, theta=6.0844062082, phi=0.3406845823)
Direction(id=66, theta=1.2531431673, phi=1.1195923694)
Direction(id=67, theta=0.1262271079, phi=0.3186846124)
Direction(id=68, theta=1.9039589001, phi=0.2373143121)
Direction(id=69, theta=3.3583859145, phi=0.7825690353)
Direction(id=70, theta=0.7788200474, phi=0.3044373939)
Direction(id=71, theta=1.0682194120, phi=0.3595127185)
Direction(id=72, theta=0.4665683207, phi=0.8333442949)
Direction(id=73, theta=5.9240163107, phi=1.0970604161)
Direction(id=74, theta=0.9439824653, phi=0.5412593942)
Direction(id=75, theta=4.3486625490, phi=0.6594463317)
Direction(id=76, theta=3.6328685558, phi=0.1896934865)
Direction(id=77, theta=3.6885730068, phi=0.1487225244)
Direction(id=78, theta=0.4910464852, phi=0.4738102013)
Direction(id=79, theta=3.6702278658, phi=0.8959435625)
Direction(id=80, theta=4.2238700835, phi=1.3935424730)
Direction(id=81, theta=4.5886114230, phi=1.4712544117)
Direction(id=82, theta=4.3196181841, phi=0.6997551491)
Direction(id=83, theta=1.5302787727, phi=0.3205319562)
Direction(id=84, theta=3.5206520225, phi=0.0337648877)
Direction(id=85, theta=0.5059637613, phi=0.8756925094)
Direction(id=86, theta=1.6571976559, phi=0.0799378992)
Direction(id=87, theta=0.6008996470, phi=0.6285078316)
Direction(id=88, theta=3.9568452180, phi=0.9349430098)
Direction(id=89, theta=3.9269914242, phi=0.7958519389)
Direction(id=90, theta=4.5444089799, phi=0.8735497773)
Direction(id=91, theta=5.9853974939, phi=0.5553657734)
Direction(id=92, theta=0.7432242356, phi=0.0506113081)
Direction(id=93, theta=1.5116790346, phi=0.3001235920)
Direction(id=94, theta=0.1720171680, phi=1.4635121317)
Direction(id=95, theta=0.8359329065, phi=0.5279037166)
Direction(id=96, theta=4.2446956580, phi=1.2679767953)
Direction(id=97, theta=0.8365510437, phi=0.7914935945)
Direction(id=98, theta=5.9269895314, phi=0.9747003856)
Direction(id=99, theta=2.9949390001, phi=0.0738685178)
