Run id: 10024
Best objective remained constant between epochs listed below.
(Current objective may have changed, however.)
Epoch, Current Objective, Best Objective, Wall Time (ns)
1, 77.27746431, 77.27746431, 1747
2, 75.43685541, 75.43685541, 223568
4, 74.35390602, 74.35390602, 448420
7, 73.31959279, 73.31959279, 673249
8, 72.53848475, 72.53848475, 891743
9, 68.76933676, 68.76933676, 1114005
11, 67.81078772, 67.81078772, 1356232
12, 67.0999962, 67.0999962, 1583231
15, 66.7093903, 66.7093903, 1838356
16, 66.24041134, 66.24041134, 2065762
18, 64.58990162, 64.58990162, 2300354
20, 64.09400365, 64.09400365, 2524570
25, 62.68544123, 62.68544123, 2754657
49, 59.84649718, 59.84649718, 3027867
55, 58.85865229, 58.85865229, 3263427
59, 57.90374545, 57.90374545, 3492040
60, 57.7954724, 57.7954724, 3717339
62, 56.02061215, 56.02061215, 3955352
81, 54.77475306, 54.77475306, 4216014
84, 53.30151614, 53.30151614, 4441473
85, 51.82513996, 51.82513996, 4666694
92, 51.80245026, 51.80245026, 4914371
128, 49.42889594, 49.42889594, 4964592
137, 48.88307258, 48.88307258, 5216872
146, 48.22981418, 48.22981418, 5463647
153, 47.41006328, 47.41006328, 5692341
159, 46.74790155, 46.74790155, 5925741
169, 46.74790155, 46.74790155, 6159412
184, 46.7302584, 46.7302584, 6182135
191, 46.53265929, 46.53265929, 6193177
192, 46.34691785, 46.34691785, 6426019
202, 44.05272076, 44.05272076, 6662755
203, 43.04538802, 43.04538802, 6883696
528, 42.28100389, 42.28100389, 7540565
1307, 42.07300987, 42.07300987, 8801989
1319, 41.98222386, 41.98222386, 9045634
1320, 41.56856922, 41.56856922, 9049163
1322, 41.53846593, 41.53846593, 9273513
1326, 41.53846593, 41.53846593, 9280867
1330, 41.38908678, 41.38908678, 9288043
1332, 41.15399471, 41.15399471, 9525190
1340, 40.99262503, 40.99262503, 9772063
1374, 40.55149732, 40.55149732, 10050803
4501, 38.22235134, 38.22235134, 14337179
4522, 38.06151785, 38.06151785, 14598985
4523, 37.9957894, 37.9957894, 14836509
9807, 37.93573262, 37.93573262, 21552702
9815, 37.69708408, 37.69708408, 21739118
9831, 37.1732624, 37.1732624, 21909002
9832, 36.9453492, 36.9453492, 22108926
9835, 35.99044236, 35.99044236, 22280424
30819, 34.70610926, 34.70610926, 46886716
30822, 34.67125069, 34.67125069, 47229825
30824, 34.55706259, 34.55706259, 47234945
30831, 34.36344478, 34.36344478, 47509382
106844, 34.35431404, 34.35431404, 136671512
106915, 34.3104271, 34.3104271, 136777761
217064, 33.73736031, 33.73736031, 272465799
237257, 32.26821178, 32.26821178, 294902157
237268, 32.20817458, 32.20817458, 295142911
237291, 32.01581448, 32.01581448, 295161927
706712, 31.62070771, 31.62070771, 798795637
706830, 30.58913972, 30.58913972, 799148471
706839, 29.88023143, 29.88023143, 799338089
2204123, 29.72452648, 29.72452648, 2465261500
2204134, 29.45827298, 29.45827298, 2465628353
2806618, 29.23454492, 29.23454492, 3108868216
2925667, 29.13654089, 29.13654089, 3230105812
2927686, 28.90588607, 28.90588607, 3232005082
2927698, 28.46359076, 28.46359076, 3232318023
2986137, 28.19349905, 28.19349905, 3287322527
3312639, 26.88046412, 26.88046412, 3585931442
3312674, 26.65162578, 26.65162578, 3586332727
3427899, 26.61859703, 26.61859703, 3710973554
3427909, 26.13296253, 26.13296253, 3710984376
3427910, 25.44388744, 25.44388744, 3711183267
4744870, 25.31313464, 25.31313464, 5136727512
5299251, 25.24422231, 25.24422231, 5715308832
5299253, 25.12416423, 25.12416423, 5715317523
5299255, 24.25632526, 24.25632526, 5715653849
5299267, 24.03119272, 24.03119272, 5715856313
5299272, 23.51779237, 23.51779237, 5716045238
6120458, 23.39887351, 23.39887351, 6624734655
6645520, 23.27580895, 23.27580895, 7197064007
6812111, 23.00940628, 23.00940628, 7369915143
6812127, 22.839857, 22.839857, 7370215219
6840578, 22.4281076, 22.4281076, 7403917461
7279192, 22.29854831, 22.29854831, 7856470832
7299226, 22.01871939, 22.01871939, 7876329567
7928433, 21.822403, 21.822403, 8574880248
8131063, 21.44667461, 21.44667461, 8793311377
8568889, 21.42837884, 21.42837884, 9275681063
8568925, 21.28112453, 21.28112453, 9275733977
8705179, 21.1755911, 21.1755911, 9423142247
8705199, 20.19375316, 20.19375316, 9423512317
8705207, 19.98290896, 19.98290896, 9423793759
8910903, 19.90017444, 19.90017444, 9622580200
8911015, 19.84696296, 19.84696296, 9622664557
9716907, 19.77438063, 19.77438063, 10506590395
9812338, 19.46934014, 19.46934014, 10610180357
10159593, 19.42203967, 19.42203967, 10996815301
10159669, 19.31013865, 19.31013865, 10996923219
10159680, 19.27657501, 19.27657501, 10997179375
10159703, 19.20565645, 19.20565645, 10997197033
10317768, 19.08102978, 19.08102978, 11161218453
10317785, 19.03258296, 19.03258296, 11161472724
10344232, 18.71444679, 18.71444679, 11193947486
10344386, 18.43819874, 18.43819874, 11194498676
10514808, 18.39409283, 18.39409283, 11374175223
10779725, 18.3608145, 18.3608145, 11672480329
11196207, 18.31222039, 18.31222039, 12150711895
11233478, 18.05885274, 18.05885274, 12196569609
11233495, 17.95658851, 17.95658851, 12196891133
11233498, 17.90639847, 17.90639847, 12197178127
11299337, 17.70727063, 17.70727063, 12267343903
11299360, 17.01760672, 17.01760672, 12267570685
