Run id: 1020
Best objective remained constant between epochs listed below.
(Current objective may have changed, however.)
Epoch, Current Objective, Best Objective, Wall Time (ns)
1, 72.54225845, 72.54225845, 13036
5, 71.88775325, 71.88775325, 13152
8, 71.84092694, 71.84092694, 13243
12, 70.74244096, 70.74244096, 13298
14, 69.94863144, 69.94863144, 13371
16, 69.40530476, 69.40530476, 13455
18, 69.28367967, 69.28367967, 13546
19, 67.85127697, 67.85127697, 13650
25, 66.83349753, 66.83349753, 13752
26, 65.51087525, 65.51087525, 13844
31, 63.56246515, 63.56246515, 13929
102, 60.47290809, 60.47290809, 14034
103, 57.52838275, 57.52838275, 14123
109, 57.48260345, 57.48260345, 14208
129, 57.05925413, 57.05925413, 14273
200, 55.80377042, 55.80377042, 14370
203, 55.33496405, 55.33496405, 14453
209, 55.0580816, 55.0580816, 14549
210, 54.93542194, 54.93542194, 14647
211, 54.55231261, 54.55231261, 14733
212, 53.09108402, 53.09108402, 14826
230, 52.56810034, 52.56810034, 14936
239, 52.29030475, 52.29030475, 15014
244, 52.13271754, 52.13271754, 15099
407, 51.3356692, 51.3356692, 15195
514, 51.24986288, 51.24986288, 15289
515, 51.24128859, 51.24128859, 15361
518, 50.75226879, 50.75226879, 15434
520, 49.58223191, 49.58223191, 15520
521, 47.81538484, 47.81538484, 15620
531, 47.70893048, 47.70893048, 15703
538, 44.98991564, 44.98991564, 15780
553, 44.2552329, 44.2552329, 15868
1540, 44.17722283, 44.17722283, 16052
16753, 42.18980024, 42.18980024, 16266
16775, 41.76725695, 41.76725695, 16356
44112, 41.50401172, 41.50401172, 16548
44152, 41.48642538, 41.48642538, 16679
44154, 40.82711346, 40.82711346, 16763
81462, 39.90748628, 39.90748628, 17108
88716, 38.74532233, 38.74532233, 17426
507818, 38.4732786, 38.4732786, 17706
507824, 37.076636, 37.076636, 17811
754760, 36.84195731, 36.84195731, 18072
754873, 36.14769856, 36.14769856, 18193
754886, 36.12385072, 36.12385072, 18280
754907, 35.84898682, 35.84898682, 18363
774385, 35.65786882, 35.65786882, 18646
774409, 34.44914456, 34.44914456, 18750
1114953, 34.21282685, 34.21282685, 18961
1114954, 33.56804107, 33.56804107, 19067
1188433, 33.11356645, 33.11356645, 19294
1188469, 31.560465, 31.560465, 19399
1188482, 31.34477673, 31.34477673, 19498
1256671, 30.73848246, 30.73848246, 19840
1527115, 30.47970118, 30.47970118, 20021
1642878, 29.97556556, 29.97556556, 20349
1642880, 29.97556556, 29.97556556, 20475
1642967, 29.73555537, 29.73555537, 20530
1643002, 28.71697716, 28.71697716, 20622
1643023, 28.41563132, 28.41563132, 20703
1851086, 28.14130497, 28.14130497, 21026
1851093, 27.86766496, 27.86766496, 21154
1851094, 27.31471201, 27.31471201, 21310
1851112, 27.29250469, 27.29250469, 21406
2013481, 26.87687444, 26.87687444, 21491
2013533, 26.66687648, 26.66687648, 21596
2224585, 26.14314295, 26.14314295, 21842
2350791, 26.00647569, 26.00647569, 22131
2556153, 25.57233099, 25.57233099, 22425
2556161, 25.23986195, 25.23986195, 22530
2640671, 25.08309653, 25.08309653, 22689
2640737, 25.06991793, 25.06991793, 22790
2640738, 24.71923637, 24.71923637, 22863
2695653, 23.92261142, 23.92261142, 23145
2695659, 23.83019336, 23.83019336, 23224
2695665, 23.58197986, 23.58197986, 23302
2807047, 23.58017101, 23.58017101, 23579
2807076, 23.38780634, 23.38780634, 23649
2807081, 23.21013781, 23.21013781, 23744
2807101, 23.06028732, 23.06028732, 23830
2964868, 22.69931145, 22.69931145, 24081
3068871, 22.67327616, 22.67327616, 24398
3106218, 22.20953893, 22.20953893, 24531
3183732, 22.19402697, 22.19402697, 24799
3183744, 22.09214955, 22.09214955, 24876
3183755, 22.00532305, 22.00532305, 24972
3183958, 21.75446693, 21.75446693, 25041
3330862, 21.72007948, 21.72007948, 25278
3330910, 21.35978439, 21.35978439, 25360
3336260, 20.98247421, 20.98247421, 25472
3336373, 20.96213162, 20.96213162, 25600
3462935, 20.85047677, 20.85047677, 25744
3474405, 20.83494607, 20.83494607, 25894
3474516, 20.72277428, 20.72277428, 25981
3474522, 19.96843801, 19.96843801, 26047
3573908, 19.72252216, 19.72252216, 26334
3575105, 19.42470012, 19.42470012, 26492
3642848, 19.02928394, 19.02928394, 26738
3643549, 18.79590612, 18.79590612, 26844
3643562, 18.76949345, 18.76949345, 26948
3643684, 18.74256795, 18.74256795, 27039
3643706, 18.63193026, 18.63193026, 27105
3644191, 18.37042694, 18.37042694, 27178
3656175, 18.23619676, 18.23619676, 27404
3656429, 18.17096799, 18.17096799, 27493
3828109, 17.99432327, 17.99432327, 27616
4003297, 17.7402961, 17.7402961, 27910
4003302, 17.39018267, 17.39018267, 27997
4271244, 16.87600337, 16.87600337, 28338
4271253, 16.48719985, 16.48719985, 28460
4591367, 16.25126212, 16.25126212, 28704
5257956, 16.13660771, 16.13660771, 29046
5330557, 16.09888395, 16.09888395, 29318
5471751, 16.04361319, 16.04361319, 29565
5538382, 15.86110405, 15.86110405, 29632
5603129, 15.80388255, 15.80388255, 29789
6226597, 15.77572955, 15.77572955, 30131
6226960, 15.68748781, 15.68748781, 30203
6227140, 15.67430922, 15.67430922, 30298
6228336, 15.66224129, 15.66224129, 30377
6241339, 15.59609683, 15.59609683, 30452
10000000, 16.05061202, 15.59609683, 2503844966
